OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
110,0,3,30,96.315914501021979,24,-121.800414957999976,36.831350835000080,-121.800589418999948,36.832207340000025,-9.298855656408893
111,0,3,26,98.563748607157379,25,-121.800414957999976,36.831350835000080,-121.800259250999943,36.832230137000067,8.101396210972377
112,0,3,24,100.462536578011253,26,-121.800414957999976,36.831350835000080,-121.800100228999952,36.832220040000038,16.228410245139528
113,0,3,44,101.557400083903772,27,-121.800414957999976,36.831350835000080,-121.800714203999974,36.832233796000025,-15.239489990231846
114,0,3,25,102.132372223962363,28,-121.800414957999976,36.831350835000080,-121.800155208999968,36.832247159000076,13.113219243905920
115,0,3,41,102.419074415931235,29,-121.800414957999976,36.831350835000080,-121.800888380999993,36.832191625000064,-24.352600276246818
116,0,3,31,107.528469338820315,30,-121.800414957999976,36.831350835000080,-121.800675622999961,36.832296855000038,-12.488901140497132
117,0,3,33,112.969053232236703,31,-121.800414957999976,36.831350835000080,-121.800502569999992,36.832366369000056,-3.967082602313786
118,0,3,34,113.580813488506379,32,-121.800414957999976,36.831350835000080,-121.800380094999980,36.832373937000057,1.569040318957882
119,0,3,32,115.798369132666608,33,-121.800414957999976,36.831350835000080,-121.800602299999980,36.832383379000078,-8.297972047295042
120,0,3,35,119.645556716121888,34,-121.800414957999976,36.831350835000080,-121.800452905999975,36.832428539000034,-1.621324736786689
121,0,3,39,126.614365701169675,35,-121.800414957999976,36.831350835000080,-121.800633795999943,36.832478124000033,-8.869417651369542
122,0,3,38,129.490828684871531,36,-121.800414957999976,36.831350835000080,-121.800782681999976,36.832479625000076,-14.674415715201476
123,0,3,36,129.942716800190141,37,-121.800414957999976,36.831350835000080,-121.800443394999945,36.832521536000058,-1.118609825475760
124,0,3,27,132.715785993816667,38,-121.800414957999976,36.831350835000080,-121.800237310999989,36.832538191000026,6.857911611090071
125,0,3,42,137.082548688624883,39,-121.800414957999976,36.831350835000080,-121.801293592999968,36.832364255000073,-34.873968692794215
126,0,3,43,141.402942438338897,40,-121.800414957999976,36.831350835000080,-121.800893339999959,36.832565615000078,-17.565474753074408
127,0,3,37,144.300967916816944,41,-121.800414957999976,36.831350835000080,-121.800589346999971,36.832643564000080,-6.188896431737789
128,0,3,28,146.555115414959033,42,-121.800414957999976,36.831350835000080,-121.800105684999949,36.832647843000075,10.850721801588838
129,0,3,29,146.806179820532293,43,-121.800414957999976,36.831350835000080,-121.800316864999957,36.832671365000067,3.417193233529458
130,0,4,3,11.991921488994800,1,-121.800310932999992,36.831282392000048,-121.800414957999976,36.831350835000080,-50.700136238654451
131,0,4,12,19.312224984966260,2,-121.800310932999992,36.831282392000048,-121.800133798999980,36.831382438000048,54.907480386726753
132,0,4,5,20.714253905721613,3,-121.800310932999992,36.831282392000048,-121.800329361999957,36.831468461000043,-4.552129650158820
133,0,4,13,22.991992993488324,4,-121.800310932999992,36.831282392000048,-121.800063438999985,36.831340214000079,73.794203620047597
134,0,4,1,24.420213040972012,5,-121.800310932999992,36.831282392000048,-121.800523313999975,36.831421231000036,-50.880739102275847
